ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,31563,9844,"Census Tract 1190, Kings County, NY",14000US36047119000
2016,2016,0,Total,43713,13015,"Census Tract 1192, Kings County, NY",14000US36047119200
2016,2016,0,Total,31170,10085,"Census Tract 1194, Kings County, NY",14000US36047119400
2016,2016,0,Total,30905,6250,"Census Tract 1196, Kings County, NY",14000US36047119600
2016,2016,0,Total,27596,9847,"Census Tract 1198, Kings County, NY",14000US36047119800
2016,2016,0,Total,32500,6454,"Census Tract 1200, Kings County, NY",14000US36047120000
2016,2016,0,Total,39485,14080,"Census Tract 1202, Kings County, NY",14000US36047120200
2016,2016,0,Total,36197,4290,"Census Tract 1208, Kings County, NY",14000US36047120800
2016,2016,0,Total,18777,7101,"Census Tract 1210, Kings County, NY",14000US36047121000
2016,2016,0,Total,21285,6228,"Census Tract 1214, Kings County, NY",14000US36047121400
2016,2016,0,Total,44930,10305,"Census Tract 1220, Kings County, NY",14000US36047122000
2016,2016,0,Total,30528,6017,"Census Tract 1237, Kings County, NY",14000US36047123700
2016,2016,0,Total,105188,24419,"Census Tract 1502, Kings County, NY",14000US36047150200
2016,2016,0,Total,85147,22920,"Census Tract 1522, Kings County, NY",14000US36047152200
2016,2016,0,Total,21102,5782,"Census Tract 2.01, New York County, NY",14000US36061000201
2016,2016,0,Total,32411,5925,"Census Tract 2.02, New York County, NY",14000US36061000202
2016,2016,0,Total,18641,4140,"Census Tract 6, New York County, NY",14000US36061000600
2016,2016,0,Total,120291,16357,"Census Tract 7, New York County, NY",14000US36061000700
2016,2016,0,Total,31129,4504,"Census Tract 8, New York County, NY",14000US36061000800
2016,2016,0,Total,158125,28789,"Census Tract 9, New York County, NY",14000US36061000900
2016,2016,0,Total,75192,13625,"Census Tract 10.01, New York County, NY",14000US36061001001
2016,2016,0,Total,16464,4653,"Census Tract 10.02, New York County, NY",14000US36061001002
2016,2016,0,Total,51474,17545,"Census Tract 12, New York County, NY",14000US36061001200
2016,2016,0,Total,124313,8863,"Census Tract 13, New York County, NY",14000US36061001300
2016,2016,0,Total,75556,18425,"Census Tract 14.01, New York County, NY",14000US36061001401
2016,2016,0,Total,26971,8185,"Census Tract 14.02, New York County, NY",14000US36061001402
2016,2016,0,Total,85426,12847,"Census Tract 15.01, New York County, NY",14000US36061001501
2016,2016,0,Total,145387,13270,"Census Tract 15.02, New York County, NY",14000US36061001502
2016,2016,0,Total,42986,10903,"Census Tract 16, New York County, NY",14000US36061001600
2016,2016,0,Total,61750,11431,"Census Tract 18, New York County, NY",14000US36061001800
2016,2016,0,Total,15490,2621,"Census Tract 20, New York County, NY",14000US36061002000
2016,2016,0,Total,250001,,"Census Tract 21, New York County, NY",14000US36061002100
2016,2016,0,Total,33700,6979,"Census Tract 22.01, New York County, NY",14000US36061002201
2016,2016,0,Total,88099,13097,"Census Tract 22.02, New York County, NY",14000US36061002202
2016,2016,0,Total,18354,3741,"Census Tract 24, New York County, NY",14000US36061002400
2016,2016,0,Total,16324,2013,"Census Tract 25, New York County, NY",14000US36061002500
2016,2016,0,Total,56420,17891,"Census Tract 26.01, New York County, NY",14000US36061002601
2016,2016,0,Total,73056,19261,"Census Tract 26.02, New York County, NY",14000US36061002602
2016,2016,0,Total,56422,16905,"Census Tract 27, New York County, NY",14000US36061002700
2016,2016,0,Total,35440,9780,"Census Tract 28, New York County, NY",14000US36061002800
2016,2016,0,Total,30434,5123,"Census Tract 29, New York County, NY",14000US36061002900
2016,2016,0,Total,71591,12271,"Census Tract 30.01, New York County, NY",14000US36061003001
2016,2016,0,Total,52479,12813,"Census Tract 30.02, New York County, NY",14000US36061003002
2016,2016,0,Total,185833,53016,"Census Tract 31, New York County, NY",14000US36061003100
