UID,Borough,Name
851,Queens,PRINCESA
852,Manhattan,POPPY
853,Brooklyn,ED 
854,Manhattan,MILO
855,Manhattan,KIRA 
856,Queens,MYLO 
857,Manhattan,OSCAR
858,Bronx,GRACIE
859,Staten Island,SOSA
860,Manhattan,MAC
861,Manhattan,PRESA
862,Bronx,BLACE
863,Manhattan,SAFFRON 
864,Manhattan,METCALF
865,Manhattan,CHARLOTTE
866,Manhattan,CHARLIE 
867,Brooklyn,BEAT
868,Brooklyn,BALDWIN
869,Staten Island,KAYA
870,Queens,CUTIE 
871,Staten Island,ADDISON
872,Manhattan,BRADLEY
873,Manhattan,HENRY 
874,Queens,RINGO 
875,Brooklyn,MIMI
876,Manhattan,CHLOE
877,Queens,ISABELLE
878,Bronx,SAMANTHA
879,Brooklyn,LUKE 
880,Manhattan,HENRY
881,Manhattan,NALA
882,Staten Island,CODY
883,Brooklyn,WATSON 
884,Manhattan,ADALYN 
885,Brooklyn,LOLA
886,Manhattan,GIA 
887,Brooklyn,GEORGE
888,Manhattan,BOOBOO
889,Queens,KONA
890,Manhattan,ROSIE
891,Bronx,RIPLEY 
892,Queens,BENTLEY 
893,Brooklyn,LYNUS
894,Brooklyn,MAX
895,Queens,SHANTY 
896,Manhattan,SASHA
897,Brooklyn,HUNTER
898,Queens,RALPHIE
899,Queens,KIARITA
900,Manhattan,ZION
901,Manhattan,ZILLA
902,Brooklyn,NIGEL 
903,Manhattan,ORION
904,Manhattan,OTTO
905,Manhattan,LOLA
906,Manhattan,LITTLEROCK
907,Manhattan,PEPPERMINT
908,Queens,ANGUS 
909,Manhattan,LOVITA 
910,Brooklyn,FRANCESCA 
911,Manhattan,OKLY
912,Staten Island,SNOW 
913,Manhattan,BRISKET
914,Manhattan,DINO 
915,Manhattan,KYUUBI
916,Staten Island,LA-NE-NA
917,Manhattan,LAH-LAH
918,Manhattan,ZOEY
919,Staten Island,MR 
920,Manhattan,COOPER
921,Queens,COTTON
922,Brooklyn,PRINCESS 
923,Queens,PRINCESS 
924,Manhattan,TILLY
925,Brooklyn,BO 
926,Manhattan,SHADOW
927,Staten Island,BEDELIA 
928,Brooklyn,PRINCESS 
929,Bronx,T-BONE
930,Brooklyn,STATIC
931,Staten Island,BROOKLYN
932,Brooklyn,DAISY
933,Manhattan,JULIUS
934,Bronx,SCOOBY 
935,Queens,SCARLET
936,Brooklyn,BAXTER
937,Brooklyn,DOTTIE
938,Manhattan,ELVIS
939,Manhattan,HEINRICH
940,Bronx,BLUE
941,Brooklyn,GUS
942,Queens,JORGE
943,Staten Island,MAYA
944,Staten Island,MILES 
945,Bronx,BUSTER
946,Queens,CORNELIUS
947,Bronx,NALA
948,Brooklyn,BORIS
949,Manhattan,ASPEN
950,Brooklyn,STELLA 
951,Bronx,SUNSHINE
952,Queens,BELLA
953,Manhattan,SCOOBY
954,Manhattan,MAXIMUS
955,Manhattan,SHADOW
