UID,Borough,BirthMonth
1064,Manhattan,2
1065,Brooklyn,7
1066,Queens,11
1067,Manhattan,1
1068,Queens,5
1069,Brooklyn,7
1070,Manhattan,9
1071,Queens,7
1072,Brooklyn,2
1073,Manhattan,7
1074,Brooklyn,9
1075,Brooklyn,5
1076,Manhattan,1
1077,Manhattan,8
1078,Manhattan,9
1079,Manhattan,5
1080,Manhattan,2
1081,Manhattan,6
1082,Brooklyn,9
1083,Brooklyn,2
1084,Manhattan,1
1085,Manhattan,12
1086,Manhattan,4
1087,Manhattan,7
1088,Queens,11
1089,Bronx,1
1090,Queens,10
1091,Manhattan,11
1092,Queens,8
1093,Manhattan,12
1094,Brooklyn,11
1095,Manhattan,1
1096,Manhattan,1
1097,Brooklyn,2
1098,Manhattan,1
1099,Brooklyn,5
1100,Bronx,10
1101,Brooklyn,10
1102,Manhattan,8
1103,Manhattan,6
1104,Manhattan,10
1105,Queens,10
1106,Staten Island,7
1107,Queens,2
1108,Manhattan,11
1110,Manhattan,2
1111,Brooklyn,5
1112,Manhattan,4
1113,Staten Island,6
1114,Manhattan,1
1115,Manhattan,12
1116,Queens,7
1117,Queens,7
1118,Brooklyn,9
1119,Queens,3
1120,Queens,8
1121,Brooklyn,2
1122,Queens,2
1123,Manhattan,9
1124,Manhattan,8
1125,Manhattan,9
1126,Brooklyn,7
1127,Brooklyn,1
1128,Brooklyn,1
1129,Bronx,1
1130,Brooklyn,6
1131,Brooklyn,6
1132,Bronx,8
1133,Queens,4
1134,Manhattan,4
1135,Manhattan,6
1136,Manhattan,12
1137,Brooklyn,5
1138,Queens,3
1139,Manhattan,9
1140,Manhattan,9
1141,Staten Island,5
1142,Queens,5
1143,Manhattan,4
1144,Manhattan,3
1145,Bronx,1
1146,Queens,1
1147,Brooklyn,6
1148,Manhattan,6
1149,Bronx,8
1150,Queens,3
1151,Manhattan,6
1152,Bronx,11
1153,Manhattan,6
1154,Bronx,4
1155,Manhattan,11
1156,Brooklyn,9
1157,Manhattan,1
1158,Manhattan,5
1159,Manhattan,7
1160,Manhattan,11
1161,Manhattan,6
1162,Manhattan,10
1163,Manhattan,10
1164,Brooklyn,7
1165,Manhattan,5
1166,Queens,10
1167,Brooklyn,6
1168,Brooklyn,8
1169,Staten Island,1
1170,Manhattan,9
1171,Queens,7
1172,Manhattan,11
1173,Manhattan,1
1174,Queens,9
1175,Manhattan,8
1176,Manhattan,1
1177,Bronx,12
1178,Manhattan,2
1179,Brooklyn,7
1180,Manhattan,1
1181,Manhattan,11
1182,Brooklyn,6
1183,Brooklyn,4
1184,Bronx,6
1185,Manhattan,9
1186,Brooklyn,5
1187,Bronx,7
1188,Manhattan,1
1189,Queens,1
1190,Brooklyn,4
1191,Brooklyn,10
1192,Manhattan,8
1193,Queens,10
1194,Manhattan,7
1195,Brooklyn,10
1196,Manhattan,10
1197,Manhattan,5
1198,Manhattan,1
1199,Manhattan,1
1201,Queens,10
1202,Manhattan,9
1203,Manhattan,4
1204,Brooklyn,6
1205,Brooklyn,5
1206,Queens,10
1207,Queens,1
1208,Brooklyn,2
1209,Bronx,7
1210,Brooklyn,1
1211,Brooklyn,7
1212,Brooklyn,11
1213,Queens,12
1214,Queens,10
1215,Queens,10
1216,Staten Island,1
1217,Queens,7
1218,Brooklyn,4
1219,Staten Island,7
1220,Manhattan,1
1221,Brooklyn,7
1222,Manhattan,6
1223,Bronx,3
1224,Bronx,11
1225,Queens,10
1226,Manhattan,5
1227,Brooklyn,1
1228,Brooklyn,8
1229,Manhattan,9
1230,Brooklyn,10
1231,Queens,1
1232,Staten Island,9
1233,Manhattan,9
1234,Manhattan,3
1236,Manhattan,1
1237,Manhattan,7
1238,Brooklyn,8
1239,Queens,8
1240,Brooklyn,12
1241,Manhattan,6
1242,Brooklyn,3
1243,Queens,5
1244,Manhattan,1
1245,Queens,12
1246,Manhattan,9
1247,Staten Island,10
1248,Brooklyn,8
1249,Bronx,8
1250,Manhattan,1
1251,Manhattan,10
1252,Bronx,5
1253,Bronx,10
1254,Brooklyn,1
1255,Manhattan,1
1256,Queens,12
1257,Brooklyn,12
1258,Manhattan,9
1259,Manhattan,10
1260,Manhattan,4
1261,Brooklyn,12
1262,Manhattan,1
1263,Queens,6
1264,Brooklyn,10
1265,Brooklyn,10
1266,Brooklyn,12
1267,Manhattan,1
1268,Queens,4
1269,Brooklyn,12
1270,Manhattan,10
1271,Queens,7
1272,Brooklyn,9
1273,Manhattan,8
1274,Manhattan,1
1275,Manhattan,11
1276,Bronx,7
1277,Manhattan,9
1278,Bronx,12
1279,Queens,1
1280,Manhattan,12
1281,Brooklyn,7
1282,Manhattan,6
1283,Manhattan,12
1284,Brooklyn,2
1285,Queens,7
1286,Bronx,7
1287,Manhattan,6
1288,Manhattan,7
1289,Manhattan,1
1290,Brooklyn,1
1291,Brooklyn,12
1292,Brooklyn,12
1293,Brooklyn,8
